,Time
1730,8.054863
1731,8.057098
1732,8.064099
1733,8.066106
1734,8.067875
1735,8.079864
1736,8.081328
1737,8.084608
1738,8.095602
1739,8.099606
1740,8.104613
1741,8.107905
1742,8.112741
1743,8.113457
1744,8.114233
1745,8.11596
1746,8.119215
1747,8.120787
1748,8.124365
1749,8.129967
1750,8.139361
1751,8.143841
1752,8.14982
1753,8.150716
1754,8.154373
1755,8.157575
1756,8.163951
1757,8.163996
1758,8.165669
1759,8.166842
1760,8.185197
1761,8.186497
1762,8.191226
1763,8.206275
1764,8.210879
1765,8.213133
1766,8.213951
1767,8.214126
1768,8.215958
1769,8.216151
1770,8.220226
1771,8.231238
1772,8.231567
1773,8.23461
1774,8.241988
1775,8.252873
1776,8.254017
1777,8.261394
1778,8.261406
1779,8.264069
1780,8.264218
1781,8.266598
1782,8.268586
1783,8.276151
1784,8.291203
1785,8.297497
1786,8.301281
1787,8.303935
1788,8.306146
1789,8.31292
1790,8.314218
1791,8.318747
1792,8.319396
1793,8.331889
1794,8.33313
1795,8.335615
1796,8.346263
1797,8.351058
1798,8.352384
1799,8.353977
1800,8.359953
1801,8.363953
1802,8.364705
1803,8.370263
1804,8.382091
1805,8.391612
1806,8.394063
1807,8.396848
1808,8.40237
1809,8.414437
1810,8.418987
1811,8.419612
1812,8.420547
1813,8.428218
1814,8.428587
1815,8.432004
1816,8.437369
1817,8.439069
1818,8.446526
1819,8.462225
1820,8.463722
1821,8.464203
1822,8.469602
1823,8.470196
1824,8.473748
1825,8.474848
1826,8.475121
1827,8.486676
1828,8.497903
1829,8.498378
1830,8.502358
1831,8.514018
1832,8.51967
1833,8.523973
1834,8.525041
1835,8.536197
1836,8.546344
1837,8.546358
1838,8.553616
1839,8.565004
1840,8.565663
1841,8.57338
1842,8.574915
1843,8.575115
1844,8.580341
1845,8.58638
1846,8.593695
1847,8.598078
1848,8.601203
1849,8.603002
1850,8.611362
1851,8.61491
1852,8.622225
1853,8.624001
1854,8.624976
1855,8.630057
1856,8.645864
1857,8.65299
1858,8.653981
1859,8.658354
1860,8.660986
1861,8.664395
1862,8.665357
1863,8.665369
1864,8.667372
1865,8.668984
1866,8.675397
1867,8.677117
1868,8.701578
1869,8.702088
1870,8.703971
1871,8.704622
